Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
Susume?Tomorrow,Snow halation,Bokutachi wa Hitotsu no Hikari,"HEART to HEART!, Kaguya no Shiro de Odoritai, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","NO EXIT ORION, Puwa Puwa-O!","Anemone heart, Garasu no Hanazono, Suki desu ga Suki desu ka?","Daring!!, Kodoku na Heaven, Niko puri?Joshi dou, Spicaterrible",Private Wars,Love marginal,Shocking Party,Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, Yuuki wa doko ni? Kimi no Mune ni!","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Daydream Warrior, Koi ni Naritai AQUARIUM, Mattete Ai no Uta, Pops heart de Odorun damon!, Thrilling?One Way","Guilty Eyes Fever, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","G Senjou no Cinderella, Natsu e no Tobira Never end ver.","Beginner's Sailing, New winding road",SELF CONTROL!!,Hop? Stop? Nonstop!,"Awaken the power, Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, Mijuku DREAMER, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Mari Ohara (VA Suzuki Aina),Diamond,Ai Miyashita (VA Natsumi Murakami)
"Bokura wa Ima no Naka de, Kitto Seishun ga Kikoeru","Snow halation, Sore wa Bokutachi no Kiseki","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Music S.T.A.R.T!!, LONELIEST BABY, Natsuiro Egao de 1,2,Jump!, Ruteshi Kisuki Shiteru, Shangri-La Shower, Takaramonozu","Cutie Panther, Love Novels, PSYCHIC FIRE","Binetsu Kara Mystery, Otohime Heart de Love Kyuuden, Shunjou Romantic","MUSEUM de Dou Shitai?, NO EXIT ORION, Sweet&sweet holiday","Beat in Angel, Otome Shiki Ren'ai Juku, Soldier game","Blueberry?Train, Kodoku na Heaven, Koi no Signal Rin rin rin!, Kururin MIRACLE, Nawatobi, Niko puri?Joshi dou",Private Wars,Bokutachi wa Hitotsu no Hikari,"Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Kitto Seishun ga Kikoeru, Snow halation, SUNNY DAY SONG, ??HEARTBEAT",Honoka Kousaka (VA Emi Nitta),Omoi yo Hitotsu ni Nare,WATER BLUE NEW WORLD,Hop? Stop? Nonstop!,"Daydream Warrior, Koi ni Naritai AQUARIUM, Shoujo Ijou no Koi ga Shitai, SKY JOURNEY, Sunshine Pikkapika Ondo","Kowareyasuki, Shadow gate to love","GALAXY HidE and SeeK, LONELY TUNING","Kaigandoori de Matteru yo, P.S. no Mukougawa","G Senjou no Cinderella, Marine Border Parasol","In this unstable world, One More Sunshine Story",SELF CONTROL!!,SKY JOURNEY,Mijuku DREAMER,Yoshiko Tsushima (Va Kobayashi Aika),Meccha Going!!,Ai Miyashita (VA Natsumi Murakami)
"Bokura wa Ima no Naka de, START:DASH!!","Sore wa Bokutachi no Kiseki, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Baby maybe Koi no Button, COLORFUL VOICE, Kaguya no Shiro de Odoritai, Korekara, SENTIMENTAL StepS, WILD STARS","Fuyu ga Kureta Yokan, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden","Love marginal, MUSEUM de Dou Shitai?","Beat in Angel, Garasu no Hanazono, Zurui yo Magnetic today","Arifureta Kanashimi no Hate, Junai Lens, Mou Hitori Ja Nai yo, Someday of my life, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Zurui yo Magnetic today,Angelic Angel,Eli Ayase (VA Yoshino Nanjo),"Aozora Jumping Heart, Daisuki dattara Daijoubu!","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Kiseki Hikaru, Tousou Meisou Mobius Loop","HAPPY PARTY TRAIN, Kimi no Hitomi o Meguru Bouken, Shoujo Ijou no Koi ga Shitai, Thank you, FRIENDS!!, Todokanai Hoshi da to Shitemo","Guilty Eyes Fever, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Manatsu wa Dare no Mono?, Natsu e no Tobira Never end ver.","RED GEM WINK, WHITE FIRST LOVE",Believe again,Kimi no Hitomi o Meguru Bouken,"Aozora Jumping Heart, Awaken the power, HAPPY PARTY TRAIN, Mijuku DREAMER, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Riko Sakurauchi (VA Aida Rikako),Starlight,Setsuna Yuki (VA Tomori Kusunoki)
"Korekara no Someday, START:DASH!!","KiRa-KiRa Sensation!, Snow halation","Angelic Angel, SUNNY DAY SONG","Kaguya no Shiro de Odoritai, Mermaid festa vol.1","Cutie Panther, PSYCHIC FIRE, Saitei de Saikou no Paradiso","Aki no Anata no Sora Tooku, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","NO EXIT ORION, Pure girls project, Sweet&sweet holiday","Beat in Angel, Soldier game, Zurui yo Magnetic today","Daring!!, Junai Lens, Niko puri?Joshi dou, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Private Wars,Snow halation,START:DASH!!,Rin Hoshizora (VA Riho Iida),"Aozora Jumping Heart, MIRAI TICKET","Mirai no Bokura wa Shitteru yo, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Next SPARKLING!!","Daydream Warrior, Koi ni Naritai AQUARIUM, Pops heart de Odorun damon!, Step! ZERO to ONE, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","G Senjou no Cinderella, Natsu no Owari no Amaoto ga","In this unstable world, WHITE FIRST LOVE",DROPOUT!?,Strawberry Trapper,"Aozora Jumping Heart, Awaken the power, Koi ni Naritai AQUARIUM, Mirai no Bokura wa Shitteru yo, MY Mai?TONIGHT, WONDERFUL STORIES",Yoshiko Tsushima (Va Kobayashi Aika),"Evergreen, Meccha Going!!, Starlight",Ayumu Uehara (VA Aguri Onishi)
"Bokura no LIVE Kimi to no LIFE, START:DASH!!","Dancing stars on me!, Snow halation","Angelic Angel, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!, Takaramonozu","Love Novels, PSYCHIC FIRE, Saitei de Saikou no Paradiso","Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden, Shunjou Romantic","Love marginal, NO EXIT ORION, Puwa Puwa-O!","After school NAVIGATORS, Soldier game, Storm in Lover","Arifureta Kanashimi no Hate, Daring!!, Junai Lens, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Storm in Lover,"Angelic Angel, Mogyutto ""love"" de Sekkin Chuu!, Natsuiro Egao de 1,2,Jump!, Snow halation, START:DASH!!, Wonderful Rush",Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, MIRAI TICKET","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Next SPARKLING!!, Over The Next Rainbow","HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Landing action Yeah!!, SKY JOURNEY, Step! ZERO to ONE","Guilty Night, Guilty Kiss!, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Natsu e no Tobira Never end ver., Natsu no Owari no Amaoto ga","New winding road, One More Sunshine Story",DROPOUT!?,Natsu no Owari no Amaoto ga,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Mijuku DREAMER, MIRACLE WAVE, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Kanan Matsuura (Suwa Nanaka),"Anata no Risou no Heroine, Starlight, Yume e no Ippo",Kanata Konoe (VA Akari Kito)
"START:DASH!!, Susume?Tomorrow","Dancing stars on me!, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Ruteshi Kisuki Shiteru, Shangri-La Shower","Cutie Panther, PSYCHIC FIRE","Binetsu Kara Mystery, Kimi no Kuse ni!","Puwa Puwa-O!, Sweet&sweet holiday","Beat in Angel, Suki desu ga Suki desu ka?","Niko puri?Joshi dou, Yuuki no Reason",Shocking Party,Beat in Angel,START:DASH!!,Nico Yazawa (VA Tokui Sora),"Aozora Jumping Heart, MIRAI TICKET","Awaken the power, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Over The Next Rainbow","Koi ni Naritai AQUARIUM, Step! ZERO to ONE",Guilty Eyes Fever,"GALAXY HidE and SeeK, LONELY TUNING","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Hajimari Road, Yosoku Fukanou Driving!",Sakana ka Nanda ka?,CRASH MIND,MY Mai?TONIGHT,MY Mai?TONIGHT,Dia Kurosawa (VA Komiya Arisa),Meccha Going!!,Ai Miyashita (VA Natsumi Murakami)
"Kitto Seishun ga Kikoeru, START:DASH!!","Dancing stars on me!, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Kaguya no Shiro de Odoritai, Super LOVE=Super LIVE!","PSYCHIC FIRE, Saitei de Saikou no Paradiso","Otohime Heart de Love Kyuuden, Shunjou Romantic","MUSEUM de Dou Shitai?, NO EXIT ORION","Garasu no Hanazono, Mermaid festa vol.2 ~Passionate~","Watashitachi wa Mirai no Hana, Yuuki no Reason",Private Wars,Angelic Angel,"Angelic Angel, Bokura no LIVE Kimi to no LIFE, Bokutachi wa Hitotsu no Hikari, Snow halation, START:DASH!!, SUNNY DAY SONG",Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MIRACLE WAVE, WATER BLUE NEW WORLD","Kiseki Hikaru, Next SPARKLING!!","Daydream Warrior, HAPPY PARTY TRAIN, Humming Friend, Thank you, FRIENDS!!, Thrilling?One Way","Guilty!? Farewell party, Kowareyasuki","GALAXY HidE and SeeK, Sotsugyou desu ne","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Hajimari Road, Manatsu wa Dare no Mono?","Sakana ka Nanda ka?, WHITE FIRST LOVE",Believe again,MIRACLE WAVE,"Believe again, Bokura no Hashittekita Michi wa…, HAPPY PARTY TRAIN, MIRACLE WAVE, Next SPARKLING!!, WATER BLUE NEW WORLD",Mari Ohara (VA Suzuki Aina),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"Bokura no LIVE Kimi to no LIFE, Kitto Seishun ga Kikoeru","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Dreamin' Go! Go!!, Music S.T.A.R.T!!, Shangri-La Shower, Soshite Saigo no Page ni wa, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Sakkaku CROSSROADS","Aki no Anata no Sora Tooku, Kimi no Kuse ni!, Shunjou Romantic","Eien Friends, Love marginal, NO EXIT ORION","Garasu no Hanazono, Kokuhaku Biyori, desu!, Zurui yo Magnetic today","Ai wa Taiyou Ja Nai?, Junai Lens, Mahoutsukai Hajimemashita!, Mou Hitori Ja Nai yo, Spicaterrible",Shocking Party,Yume no Tobira,"Bokura no LIVE Kimi to no LIFE, Dancing stars on me!, Music S.T.A.R.T!!, Snow halation, SUNNY DAY SONG, Yume no Tobira",Maki Nishikino (VA Pile),"Aozora Jumping Heart, Mijuku DREAMER","MIRACLE WAVE, WATER BLUE NEW WORLD","Bokura no Hashittekita Michi wa…, Next SPARKLING!!","Daydream Warrior, HAPPY PARTY TRAIN, Humming Friend, Jump up HIGH!!, SKY JOURNEY","Guilty Night, Guilty Kiss!, Kowareyasuki","GALAXY HidE and SeeK, LONELY TUNING","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Marine Border Parasol, Natsu e no Tobira Never end ver.","Beginner's Sailing, Sakana ka Nanda ka?",Believe again,Jump up HIGH!!,"Believe again, Bokura no Hashittekita Michi wa…, Brightest Melody, HAPPY PARTY TRAIN, WONDERFUL STORIES",Mari Ohara (VA Suzuki Aina),"Anata no Risou no Heroine, Doki Pipo ? Emotion, Starlight",Shizuku Osaka (VA Kaori Maeda)
"Bokura wa Ima no Naka de, Susume?Tomorrow",Snow halation,"Angelic Angel, ??HEARTBEAT","Mermaid festa vol.1, Yuujou No Change",Love Novels,Shiranai Love*Oshiete Love,"Eien Friends, WAO-WAO Powerful day!",Listen to my heart!!,"Nawatobi, Niko puri?Joshi dou",Private Wars,Snow halation,"Angelic Angel, Bokura wa Ima no Naka de, Snow halation, Susume?Tomorrow, ??HEARTBEAT",Eli Ayase (VA Yoshino Nanjo),Mijuku DREAMER,MY Mai?TONIGHT,Hop? Stop? Nonstop!,"Daydream Warrior, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, Thrilling?One Way","Guilty Night, Guilty Kiss!",GALAXY HidE and SeeK,Genki Zenkai DAY! DAY! DAY!,G Senjou no Cinderella,One More Sunshine Story,CRASH MIND,G Senjou no Cinderella,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Mijuku DREAMER",Hanamaru Kunikida (Va Takatsuki Kanako),,
"Kitto Seishun ga Kikoeru, START:DASH!!","Donna Toki mo Zutto, Snow halation","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, Korekara, Music S.T.A.R.T!!, LOVELESS WORLD, Mogyutto ""love"" de Sekkin Chuu!","Cutie Panther, PSYCHIC FIRE, Saitei de Saikou no Paradiso","A-NO-NE-GA-N-BA-RE!, Aki no Anata no Sora Tooku, Otohime Heart de Love Kyuuden","Eien Friends, Love marginal, Puwa Puwa-O!","After school NAVIGATORS, Storm in Lover, Suki desu ga Suki desu ka?","Kodoku na Heaven, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,Otohime Heart de Love Kyuuden,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Snow halation, SUNNY DAY SONG, ??HEARTBEAT",Eli Ayase (VA Yoshino Nanjo),"Aozora Jumping Heart, MIRAI TICKET","MIRACLE WAVE, WONDERFUL STORIES","Hop? Stop? Nonstop!, Kiseki Hikaru","""MY LIST"" to you!, Kimi no Hitomi o Meguru Bouken, SKY JOURNEY, Sunshine Pikkapika Ondo, Taiyou o Oikakero!","Kowareyasuki, Shadow gate to love","INNOCENT BIRD, Tokimeki Bunruigaku","Kinmirai Happy End, Sakura Bye Bye","G Senjou no Cinderella, Manatsu wa Dare no Mono?","In this unstable world, One More Sunshine Story",Believe again,Sunshine Pikkapika Ondo,"Awaken the power, Hop? Stop? Nonstop!, MIRACLE WAVE, MY Mai?TONIGHT, WATER BLUE NEW WORLD, WONDERFUL STORIES",Mari Ohara (VA Suzuki Aina),"CHASE!, Nemureru Mori ni Ikitai na, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
Bokura wa Ima no Naka de,Snow halation,Angelic Angel,Wonderful Rush,"Cutie Panther, Natsu, Owaranai de., PSYCHIC FIRE","Binetsu Kara Mystery, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love","CheerDay CheerGirl!, NO EXIT ORION","Soldier game, Storm in Lover","Arifureta Kanashimi no Hate, Daring!!, Kodoku na Heaven, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Private Wars,Snow halation,Wonderful Rush,Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT",Kiseki Hikaru,"Daydream Warrior, Hop?Step?Waai!, Jump up HIGH!!, Sunshine Pikkapika Ondo, Taiyou o Oikakero!","Kowareyasuki, Strawberry Trapper","INNOCENT BIRD, LONELY TUNING","Kaigandoori de Matteru yo, Yozora wa Nandemo Shitteru no?","Manatsu wa Dare no Mono?, Marine Border Parasol","In this unstable world, WHITE FIRST LOVE",Believe again,MY Mai?TONIGHT,MY Mai?TONIGHT,Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Meccha Going!!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"No brand girls, Wonder zone","Dancing stars on me!, Yume no Tobira","Hello, Hoshi o Kazoete, ??HEARTBEAT","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, Ruteshi Kisuki Shiteru, Shangri-La Shower","Fuyu ga Kureta Yokan, PSYCHIC FIRE, Sakkaku CROSSROADS","Aki no Anata no Sora Tooku, Binetsu Kara Mystery, Onaji Hoshi ga Mitai","Eien Friends, Love marginal, NO EXIT ORION","Garasu no Hanazono, Soldier game, Zurui yo Magnetic today","Kaku mo Yuubi na Hi to Narite, Senkou Resolution, Spicaterrible",Shocking Party,NO EXIT ORION,"Angelic Angel, Dancing stars on me!, Hello, Hoshi o Kazoete, Love wing bell, Snow halation, ??HEARTBEAT",Umi Sonoda (VA Suzuko Mimori),"Daisuki dattara Daijoubu!, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Next SPARKLING!!","Daydream Warrior, Humming Friend, Kimi no Hitomi o Meguru Bouken, SKY JOURNEY, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Sotsugyou desu ne","P.S. no Mukougawa, Sakura Bye Bye","Hajimari Road, Yosoku Fukanou Driving!","In this unstable world, Pianoforte Monologue",Believe again,Kimi no Hitomi o Meguru Bouken,"Awaken the power, Believe again, HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Doki Pipo ? Emotion, Starlight",Karin Asaka (VA Miyu Kubota)
"No brand girls, START:DASH!!","Donna Toki mo Zutto, Snow halation","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, Natsuiro Egao de 1,2,Jump!, Sayounara e Sayonara!, Super LOVE=Super LIVE!, Takaramonozu, Yuujou No Change","Fuyu ga Kureta Yokan, Natsu, Owaranai de., PSYCHIC FIRE","Aki no Anata no Sora Tooku, Binetsu Kara Mystery, Futari Happiness",,"Beat in Angel, Garasu no Hanazono, Zurui yo Magnetic today","Mahoutsukai Hajimemashita!, Mou Hitori Ja Nai yo, Watashitachi wa Mirai no Hana, Yuuki no Reason",,Datte Datte Aa Mujou,Bokutachi wa Hitotsu no Hikari,Umi Sonoda (VA Suzuko Mimori),,,,"Daydream Warrior, HAPPY PARTY TRAIN, Mattete Ai no Uta, Seinaru Hi no Inori","Shadow gate to love, Strawberry Trapper",INNOCENT BIRD,Yozora wa Nandemo Shitteru no?,,,,Daydream Warrior,HAPPY PARTY TRAIN,,"CHASE!, Starlight",
"Bokura wa Ima no Naka de, START:DASH!!","Dancing stars on me!, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, Dreamin' Go! Go!!, Kaguya no Shiro de Odoritai, MOMENT RING, Natsuiro Egao de 1,2,Jump!, Wonderful Rush","Fuyu ga Kureta Yokan, PSYCHIC FIRE, Trouble Busters","Binetsu Kara Mystery, Kimi no Kuse ni!, Onaji Hoshi ga Mitai","Eien Friends, Love marginal, NO EXIT ORION","Garasu no Hanazono, Soldier game, Suki desu ga Suki desu ka?","Blueberry?Train, Kodoku na Heaven, Nawatobi, Niko puri?Joshi dou, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,START:DASH!!,"Bokura wa Ima no Naka de, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Love wing bell, START:DASH!!, SUNNY DAY SONG",Eli Ayase (VA Yoshino Nanjo),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, WONDERFUL STORIES","Hop? Stop? Nonstop!, Over The Next Rainbow","HAPPY PARTY TRAIN, Jump up HIGH!!, Kimi no Hitomi o Meguru Bouken, Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!","Guilty Eyes Fever, Kowareyasuki","LONELY TUNING, Sotsugyou desu ne","P.S. no Mukougawa, Sakura Bye Bye","Hajimari Road, Natsu no Owari no Amaoto ga","One More Sunshine Story, Sakana ka Nanda ka?",Believe again,"Thank you, FRIENDS!!",WONDERFUL STORIES,Mari Ohara (VA Suzuki Aina),"CHASE!, TOKIMEKI Runners, Yume e no Ippo",Shizuku Osaka (VA Kaori Maeda)
"Kitto Seishun ga Kikoeru, START:DASH!!","Donna Toki mo Zutto, Snow halation","Bokutachi wa Hitotsu no Hikari, Future style","Kaguya no Shiro de Odoritai, Music S.T.A.R.T!!, LOVELESS WORLD, MOMENT RING, Sayounara e Sayonara!","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Love marginal, NO EXIT ORION, UNBALANCED LOVE","After school NAVIGATORS, Garasu no Hanazono, Soldier game","Blueberry?Train, Mahoutsukai Hajimemashita!, Nawatobi, Niko puri?Joshi dou, Someday of my life, Spicaterrible",Private Wars,START:DASH!!,"Bokutachi wa Hitotsu no Hikari, Donna Toki mo Zutto, Kitto Seishun ga Kikoeru, Love wing bell, No brand girls, START:DASH!!",Maki Nishikino (VA Pile),"Daisuki dattara Daijoubu!, Omoi yo Hitotsu ni Nare","MIRACLE WAVE, WONDERFUL STORIES","Brightest Melody, Hop? Stop? Nonstop!","Jump up HIGH!!, Kimi no Hitomi o Meguru Bouken, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Hajimari Road, Jimo Ai ? Mantan ? Summer Life","RED GEM WINK, WHITE FIRST LOVE",Believe again,WONDERFUL STORIES,"Daisuki dattara Daijoubu!, Hop? Stop? Nonstop!, Kimeta yo Hand in Hand, MIRACLE WAVE, Omoi yo Hitotsu ni Nare, WONDERFUL STORIES",Yoshiko Tsushima (Va Kobayashi Aika),TOKIMEKI Runners,Kasumi Nakasu (VA Mayu Sagara)
"START:DASH!!, Susume?Tomorrow","Oh,Love&Peace!, Snow halation",SUNNY DAY SONG,"Baby maybe Koi no Button, Paradise Live, SENTIMENTAL StepS, Wonderful Rush","Cutie Panther, Love Novels",Futari Happiness,"Eien Friends, Love marginal, Pure girls project","Beat in Angel, Listen to my heart!!, Soldier game","Blueberry?Train, Koi no Signal Rin rin rin!, Nawatobi, Niko puri?Joshi dou, Yuuki no Reason",Private Wars,Paradise Live,Love wing bell,Hanayo Koizumi (VA Yurika Kubo),Aozora Jumping Heart,"MY Mai?TONIGHT, WATER BLUE NEW WORLD",Next SPARKLING!!,"Aqours?HEROES, Step! ZERO to ONE","Guilty Night, Guilty Kiss!, Strawberry Trapper",Tokimeki Bunruigaku,Genki Zenkai DAY! DAY! DAY!,Waku-Waku-Week!,In this unstable world,DROPOUT!?,CRASH MIND,Aozora Jumping Heart,Ruby Kurosawa (VA Furihata Ai),,
"START:DASH!!, Susume?Tomorrow","Happy maker!, Oh,Love&Peace!","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","COLORFUL VOICE, Datte Datte Aa Mujou, LOVELESS WORLD, Ruteshi Kisuki Shiteru, Soshite Saigo no Page ni wa, Super LOVE=Super LIVE!","PSYCHIC FIRE, Saitei de Saikou no Paradiso, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Aki no Anata no Sora Tooku, Otohime Heart de Love Kyuuden","CheerDay CheerGirl!, Love marginal, Pure girls project","Kokuhaku Biyori, desu!, Mermaid festa vol.2 ~Passionate~, Soldier game","Kodoku na Heaven, Someday of my life",Private Wars,Soshite Saigo no Page ni wa,"Happy maker!, Private Wars, Shocking Party, Wonderful Rush",Nozomi Toujou (VA Aina Kusuda),"Kimeta yo Hand in Hand, Omoi yo Hitotsu ni Nare","Awaken the power, MIRACLE WAVE",Tousou Meisou Mobius Loop,"Aqours?HEROES, Humming Friend, SKY JOURNEY, Step! ZERO to ONE, Todokanai Hoshi da to Shitemo","Shadow gate to love, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, Sakura Bye Bye","Manatsu wa Dare no Mono?, Natsu no Owari no Amaoto ga",One More Sunshine Story,Believe again,Humming Friend,"Awaken the power, Koi ni Naritai AQUARIUM, MIRACLE WAVE",Chika Takami (VA Inami Anju),Meccha Going!!,Ai Miyashita (VA Natsumi Murakami)
"Susume?Tomorrow, Wonder zone","Happy maker!, Snow halation","Hello, Hoshi o Kazoete, ??HEARTBEAT","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Takaramonozu, WILD STARS, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","NO EXIT ORION, Puwa Puwa-O!, UNBALANCED LOVE","After school NAVIGATORS, Beat in Angel, Listen to my heart!!","Blueberry?Train, Daring!!, Junai Lens, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Happy maker!,"Angelic Angel, Happy maker!, Shocking Party, Susume?Tomorrow, Wonder zone, ??HEARTBEAT",Umi Sonoda (VA Suzuko Mimori),"Daisuki dattara Daijoubu!, Mijuku DREAMER","MIRACLE WAVE, MY Mai?TONIGHT",,"Daydream Warrior, HAPPY PARTY TRAIN, SKY JOURNEY, Sunshine Pikkapika Ondo, Thrilling?One Way","Guilty!? Farewell party, Kowareyasuki","INNOCENT BIRD, LONELY TUNING","Kinmirai Happy End, P.S. no Mukougawa","G Senjou no Cinderella, Jimo Ai ? Mantan ? Summer Life","In this unstable world, WHITE FIRST LOVE",DROPOUT!?,HAPPY PARTY TRAIN,"Awaken the power, HAPPY PARTY TRAIN, Mijuku DREAMER, MIRACLE WAVE, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),,
